recovery_id,product_id,recovery_center_id,recovery_center_name,recovery_date,material_type,weight_recovered,condition,recycling_method,recovered_by,circular_credit_amount,gps_lat,gps_lon,verification_hash
REC-20260130-30219,COPM005202602261731014086,R006,Pune Recycling,1769758233.542938,Copper,32.69,good,composting,Collector-85,1144.16,13.102777793695928,77.2796998888508,ff3291b14eb2a34e
REC-20260130-90973,ALUM001202602261731019497,R001,Delhi Recycling Hub,1769761206.012424,Aluminum,24.68,damaged,mechanical,Collector-45,863.95,12.837548062611688,77.97922085967758,35f011bd085e78f2
REC-20260130-74716,HDPM008202602261731018464,R004,Chennai Green Center,1769762206.106539,HDPE Plastic,27.62,good,mechanical,Collector-77,414.31,12.541586828988699,77.5949026871589,92fbad47ae0c78da
REC-20260130-39496,COPM008202602261731019955,R008,Hyderabad Green,1769762342.105097,Copper,17.77,good,mechanical,Collector-94,621.78,12.518897543538243,77.46612170682323,232307f3f530e355
REC-20260130-59302,GLAM002202602261731011129,R006,Pune Recycling,1769762739.838667,Glass,19.64,damaged,composting,Collector-8,98.18,13.3180401884774,77.92457265726388,382348c0ec0b2389
REC-20260130-93587,LITM002202602261731015601,R008,Hyderabad Green,1769767211.427308,Lithium Battery,8.8,good,pyrolysis,Collector-95,396.03,12.810888052559758,77.81622853559492,4fa6e121ef2df883
REC-20260130-62172,PETM006202602261731016006,R003,Bengaluru E-Parisara,1769767713.403427,PET Plastic,2.46,good,chemical,Collector-14,36.88,12.89396833065041,77.85629296927893,ae8f1c87645240d7
REC-20260130-20803,ORGM002202602261731012809,R001,Delhi Recycling Hub,1769768057.348697,Organic Waste,34.55,good,mechanical,Collector-6,103.66,12.49118472434599,77.99048262265775,2e21361a0bc10981
REC-20260130-93252,ALUM004202602261731019447,R008,Hyderabad Green,1769770290.737766,Aluminum,32.22,excellent,composting,Collector-3,1127.84,13.319258286154518,78.03703954219982,c2d347018573a89d
REC-20260130-54151,GLAM002202602261731018199,R001,Delhi Recycling Hub,1769772877.764077,Glass,4.5,excellent,mechanical,Collector-64,22.49,13.319686617237402,77.42147010258222,415f80226b5026e5
REC-20260130-57128,E-WM006202602261731018996,R006,Pune Recycling,1769772923.325516,E-Waste PCB,0.45,good,chemical,Collector-91,20.21,12.879417548697639,77.53582455501657,324eb0a0564835a4
REC-20260130-11223,E-WM003202602261731019656,R004,Chennai Green Center,1769775919.959623,E-Waste PCB,33.96,good,chemical,Collector-12,1528.08,12.836032340323479,77.61679378585788,f8a9b078345ddc6b
REC-20260130-70321,E-WM002202602261731017901,R005,Kolkata Recovery,1769777216.961993,E-Waste PCB,7.24,good,chemical,Collector-2,325.9,13.355115514035111,77.54714583574813,ad98b90cdc5eed24
REC-20260130-45503,ORGM007202602261731011897,R002,Mumbai Waste Warriors,1769777794.948606,Organic Waste,14.47,excellent,mechanical,Collector-87,43.4,12.710968584936744,77.1215658918849,a3b1af2c7f1076a7
REC-20260130-95193,ALUM005202602261731011297,R003,Bengaluru E-Parisara,1769778619.74721,Aluminum,9.87,good,chemical,Collector-30,345.3,13.344867527879503,77.71992526116954,b111aa4871ff2b28
REC-20260130-53679,PAPM004202602261731019751,R003,Bengaluru E-Parisara,1769788080.464534,Paper/Cardboard,37.97,damaged,mechanical,Collector-57,303.73,12.563678915105669,77.6982609632369,37a1baa5ec874cb0
REC-20260130-71928,HDPM007202602261731018059,R006,Pune Recycling,1769789140.321141,HDPE Plastic,13.26,damaged,pyrolysis,Collector-44,198.86,12.512541039637526,77.52455669069168,d266853921182a27
REC-20260130-11898,LITM003202602261731012119,R003,Bengaluru E-Parisara,1769789508.58252,Lithium Battery,6.56,good,pyrolysis,Collector-42,295.09,13.35499633847996,77.97693765413707,9b9e05e8fbbe22d3
REC-20260130-28569,PAPM001202602261731011760,R002,Mumbai Waste Warriors,1769791879.441519,Paper/Cardboard,0.65,good,composting,Collector-39,5.21,13.46813468087592,77.53441352089966,82ef80ec9fde7fa4
REC-20260130-38737,ORGM005202602261731018278,R001,Delhi Recycling Hub,1769793448.684893,Organic Waste,5.44,damaged,mechanical,Collector-16,16.33,12.891366012242113,77.67430373202556,26511ec97b076bfd
REC-20260131-37760,PETM004202602261731011840,R004,Chennai Green Center,1769798328.990215,PET Plastic,16.9,damaged,pyrolysis,Collector-23,253.53,12.65109521566038,77.58986283760972,ac6f1af4bb10cd6b
REC-20260131-57102,GLAM002202602261731013029,R003,Bengaluru E-Parisara,1769799475.848679,Glass,28.63,good,composting,Collector-99,143.17,12.520897776290306,77.66584736553683,1121485fc551ccfd
REC-20260131-44758,PAPM008202602261731017908,R005,Kolkata Recovery,1769799655.789237,Paper/Cardboard,4.94,excellent,chemical,Collector-63,39.48,12.936518552837319,77.1277205812615,d0ac2603f5d58b1d
REC-20260131-40041,LITM007202602261731012100,R006,Pune Recycling,1769799715.72359,Lithium Battery,14.01,excellent,chemical,Collector-68,630.63,13.106811635629029,77.65291801963949,30452ed22b314f9b
REC-20260131-92521,COPM002202602261731012620,R006,Pune Recycling,1769799809.170374,Copper,34.69,good,pyrolysis,Collector-60,1214.05,13.188570715147321,77.87344165971525,25ec87d6095e2992
REC-20260131-82042,PAPM002202602261731011909,R005,Kolkata Recovery,1769800639.810096,Paper/Cardboard,20.88,good,pyrolysis,Collector-79,167.07,12.652156798445485,77.46130647233508,8334131c870c343c
REC-20260131-21235,COPM001202602261731018054,R008,Hyderabad Green,1769802101.299912,Copper,34.29,excellent,chemical,Collector-18,1200.16,13.129954967861018,77.54807448553922,ddd4839fbc622c87
REC-20260131-32087,PETM001202602261731015361,R004,Chennai Green Center,1769805917.79537,PET Plastic,25.05,damaged,mechanical,Collector-36,375.78,13.296152227165951,77.68336826627875,b772f5f9b865a3b8
REC-20260131-25559,E-WM007202602261731018913,R004,Chennai Green Center,1769806309.708123,E-Waste PCB,32.75,good,pyrolysis,Collector-21,1473.71,13.382274222344368,77.45082306356157,c08c6bda669bd413
REC-20260131-46136,STEM007202602261731018702,R006,Pune Recycling,1769808184.562841,Steel,1.76,damaged,mechanical,Collector-91,61.6,12.66734864174022,77.6049645490962,32a9e59aa31e6ef1
REC-20260131-66863,GLAM003202602261731013285,R003,Bengaluru E-Parisara,1769808620.349309,Glass,8.3,damaged,chemical,Collector-73,41.5,12.636562134969108,77.3143416504251,09570b23e8db0d43
REC-20260131-50952,ALUM007202602261731017619,R007,Ahmedabad Waste,1769809470.084965,Aluminum,5.03,excellent,composting,Collector-14,175.89,13.339644003274111,77.72859167425842,48ff7ffce0c2f584
REC-20260131-37268,E-WM008202602261731013740,R005,Kolkata Recovery,1769811738.009696,E-Waste PCB,1.85,good,composting,Collector-55,83.15,13.317571235602871,77.84988677889595,3a6519777809e214
REC-20260131-35409,LITM003202602261731019570,R007,Ahmedabad Waste,1769815438.318674,Lithium Battery,39.41,damaged,mechanical,Collector-53,1773.61,12.611117683564478,77.55207031411328,0cd9056c4045f30e
REC-20260131-86158,GLAM008202602261731017809,R004,Chennai Green Center,1769816046.363854,Glass,18.99,good,chemical,Collector-76,94.95,13.317472707361887,77.67480369716907,09a3dfaf5795c4b8
REC-20260131-70753,GLAM008202602261731016573,R004,Chennai Green Center,1769820018.694648,Glass,20.12,damaged,composting,Collector-65,100.62,13.047862730038458,77.20134113352766,33c36ff141d626d4
REC-20260131-59262,PAPM006202602261731016777,R002,Mumbai Waste Warriors,1769820913.090465,Paper/Cardboard,0.57,good,pyrolysis,Collector-13,4.55,12.489258552560987,77.8990445439636,d1a73c967624a336
REC-20260131-74294,PAPM004202602261731019849,R008,Hyderabad Green,1769821223.170422,Paper/Cardboard,12.65,good,mechanical,Collector-60,101.18,13.21018237582312,77.22317959605441,49833a349bf66d04
REC-20260131-28211,GLAM003202602261731016252,R001,Delhi Recycling Hub,1769821982.481743,Glass,6.16,damaged,pyrolysis,Collector-78,30.81,12.915363702226404,77.50589355367696,5aeb14e7029ef043
REC-20260131-45860,ORGM004202602261731011953,R001,Delhi Recycling Hub,1769824465.348609,Organic Waste,28.59,damaged,mechanical,Collector-80,85.78,13.429393366032725,77.25231446161006,2a9deb1346bb6c20
REC-20260131-74627,ORGM001202602261731011621,R005,Kolkata Recovery,1769824466.344067,Organic Waste,3.88,good,pyrolysis,Collector-68,11.64,13.424561146937377,77.48220505295016,de84235bccc196c6
REC-20260131-93527,GLAM001202602261731014251,R001,Delhi Recycling Hub,1769825127.126188,Glass,10.4,end_of_life,composting,Collector-61,51.98,12.763656493845112,77.0962194626272,35ebfb322ab642d4
REC-20260131-65777,STEM003202602261731012256,R005,Kolkata Recovery,1769825485.771568,Steel,34.15,damaged,chemical,Collector-23,1195.39,13.030242761035408,77.83828462079622,97ae924a9b4a2afb
REC-20260131-30438,E-WM002202602261731019827,R002,Mumbai Waste Warriors,1769825603.625211,E-Waste PCB,22.68,good,pyrolysis,Collector-33,1020.78,13.325398451285233,77.88129339280209,1095aa4b88409e51
REC-20260131-93568,HDPM002202602261731019309,R007,Ahmedabad Waste,1769825827.042818,HDPE Plastic,29.97,damaged,chemical,Collector-2,449.53,12.70670581333836,77.87274708295473,32166ef049818d32
REC-20260131-33365,PETM007202602261731019083,R001,Delhi Recycling Hub,1769827126.694296,PET Plastic,27.7,excellent,chemical,Collector-30,415.5,13.439508344862157,77.54470330596239,0c97ac8fdf2255c5
REC-20260131-18048,STEM001202602261731014512,R002,Mumbai Waste Warriors,1769828471.971285,Steel,6.91,excellent,composting,Collector-44,242.01,12.700283060851294,77.69132644364043,ceb265fff63806ee
REC-20260131-10610,STEM003202602261731017633,R006,Pune Recycling,1769835467.313068,Steel,1.86,damaged,composting,Collector-73,65.21,13.08536430836143,77.321392593316,fd855b1ef78878dd
REC-20260131-86768,PAPM003202602261731016674,R002,Mumbai Waste Warriors,1769835615.527881,Paper/Cardboard,3.55,good,mechanical,Collector-45,28.44,13.243894764202613,77.11932836331397,586ab5e7f1e98969
REC-20260131-94044,ORGM004202602261731015767,R005,Kolkata Recovery,1769836554.068908,Organic Waste,18.89,damaged,chemical,Collector-34,56.67,13.33551952508113,77.18187256972723,411ef0e64c1e5612
REC-20260131-15956,HDPM005202602261731019834,R002,Mumbai Waste Warriors,1769837384.325644,HDPE Plastic,8.65,damaged,mechanical,Collector-83,129.73,12.924960042067216,77.40010415417116,4d805e1e845f489a
REC-20260131-73824,PAPM008202602261731016694,R005,Kolkata Recovery,1769841150.642564,Paper/Cardboard,46.42,end_of_life,composting,Collector-77,371.33,12.873040034060063,77.83577785968608,25ec64868d3b5c39
REC-20260131-13944,E-WM001202602261731012259,R004,Chennai Green Center,1769841489.411286,E-Waste PCB,23.52,end_of_life,mechanical,Collector-13,1058.48,13.119244062851072,77.93032414920407,f3dc3e575c1aab2f
REC-20260131-11280,ALUM002202602261731019561,R004,Chennai Green Center,1769843852.084504,Aluminum,9.89,good,chemical,Collector-97,346.23,12.840777187006719,77.3003970770108,e4415cfd4b06ec14
REC-20260131-60243,GLAM008202602261731019108,R003,Bengaluru E-Parisara,1769848233.192133,Glass,36.47,excellent,mechanical,Collector-72,182.35,13.407283147533112,77.83864716571297,d8ae79386ffe1e4a
REC-20260131-85475,COPM008202602261731018234,R006,Pune Recycling,1769848468.875111,Copper,17.77,good,chemical,Collector-49,621.96,13.015533482653792,77.39374721873033,af293130643ea9fa
REC-20260131-50156,COPM005202602261731016272,R007,Ahmedabad Waste,1769848635.848706,Copper,38.58,excellent,chemical,Collector-3,1350.28,13.091828934459281,77.50540973943248,d39936aa46fc8067
REC-20260131-90871,ALUM003202602261731011296,R006,Pune Recycling,1769850582.513152,Aluminum,22.25,excellent,chemical,Collector-92,778.78,13.283361447173727,77.75668929685135,33208ae5fc18fc71
REC-20260131-35817,STEM007202602261731018256,R006,Pune Recycling,1769851788.097419,Steel,1.19,excellent,pyrolysis,Collector-56,41.72,12.58528267845534,77.20387511711598,87b86b5078c72479
REC-20260131-27373,GLAM004202602261731018303,R003,Bengaluru E-Parisara,1769852374.670687,Glass,14.08,excellent,composting,Collector-60,70.4,12.847100647663506,77.12267753077981,42bbcd89cd2f7bb2
REC-20260131-93176,LITM005202602261731011674,R007,Ahmedabad Waste,1769854233.509774,Lithium Battery,23.11,damaged,pyrolysis,Collector-73,1039.83,13.250657444639288,77.95668039641869,dc03a4fbd5dc75f8
REC-20260131-90722,E-WM006202602261731013418,R003,Bengaluru E-Parisara,1769857330.990385,E-Waste PCB,17.83,damaged,composting,Collector-89,802.47,12.578611278689346,77.70790915682912,e3f1dda9dd168258
REC-20260131-58191,STEM001202602261731013564,R003,Bengaluru E-Parisara,1769857974.807363,Steel,35.55,good,chemical,Collector-84,1244.22,12.987482867320693,77.5627072727737,7ec3fe4ef0a390ef
REC-20260131-28185,E-WM005202602261731015317,R004,Chennai Green Center,1769860835.18211,E-Waste PCB,36.34,good,pyrolysis,Collector-67,1635.26,12.594616706521158,77.53673415625057,47952132ad88ea59
REC-20260131-48010,ALUM002202602261731016217,R001,Delhi Recycling Hub,1769861823.767927,Aluminum,26.92,end_of_life,mechanical,Collector-48,942.36,12.863328822931656,77.73476972703719,3bb8c3dd0d913cae
REC-20260131-70523,PAPM007202602261731012949,R006,Pune Recycling,1769862743.037861,Paper/Cardboard,27.59,good,mechanical,Collector-90,220.74,13.467884252728085,77.83286271817381,a349299326b8a1a2
REC-20260131-14954,LITM006202602261731014379,R006,Pune Recycling,1769863041.128316,Lithium Battery,27.88,good,mechanical,Collector-21,1254.52,13.272067741763681,77.36508552560699,05d41b0d04e5de29
REC-20260131-79612,ALUM007202602261731017515,R005,Kolkata Recovery,1769863773.676258,Aluminum,11.31,damaged,composting,Collector-37,396.01,12.619670513824707,77.66783286539666,088f1f4573adf139
REC-20260131-20173,LITM001202602261731019356,R005,Kolkata Recovery,1769864265.129539,Lithium Battery,32.98,good,chemical,Collector-56,1483.92,13.135157062897207,77.91593010262554,a771775fd57bc123
REC-20260131-62853,HDPM006202602261731019390,R003,Bengaluru E-Parisara,1769867708.110982,HDPE Plastic,18.41,good,mechanical,Collector-67,276.2,13.40297939727703,77.50349829430151,2b54899b7a894fc1
REC-20260131-94279,LITM006202602261731014684,R005,Kolkata Recovery,1769868708.565067,Lithium Battery,20.58,good,pyrolysis,Collector-64,925.93,12.868341474817445,77.19023498927076,72d41094d42ef82f
REC-20260131-74627,GLAM001202602261731012196,R006,Pune Recycling,1769868933.558436,Glass,5.79,good,mechanical,Collector-16,28.94,12.882967552599844,77.88197273645658,0dca66d9ad232583
REC-20260131-48199,PAPM003202602261731011097,R005,Kolkata Recovery,1769870105.824675,Paper/Cardboard,34.97,excellent,composting,Collector-94,279.73,12.584450872394074,77.225720599876,7477770e3477a9bc
REC-20260131-86335,STEM005202602261731018066,R002,Mumbai Waste Warriors,1769871361.709008,Steel,19.22,damaged,chemical,Collector-33,672.55,12.873618040690584,77.92873078455496,ed22ac481a7462d3
REC-20260131-66992,E-WM001202602261731014602,R006,Pune Recycling,1769871884.398893,E-Waste PCB,18.92,excellent,composting,Collector-57,851.24,13.312341731619734,77.36315459010919,40fdaa8eb2c321df
REC-20260131-61166,PETM007202602261731015017,R001,Delhi Recycling Hub,1769872120.655659,PET Plastic,34.15,damaged,composting,Collector-68,512.25,13.393272190546242,77.3373836568486,0355a365e0e4babb
REC-20260131-60100,PAPM002202602261731014576,R005,Kolkata Recovery,1769877007.650156,Paper/Cardboard,4.76,damaged,chemical,Collector-6,38.1,13.416711288931621,77.46897197362684,e23014a94d253e48
REC-20260131-96721,STEM002202602261731012305,R001,Delhi Recycling Hub,1769877377.002279,Steel,29.21,good,chemical,Collector-95,1022.46,12.887953143886064,77.71866771916898,a9271cca41391bdf
REC-20260131-83922,PAPM003202602261731015888,R005,Kolkata Recovery,1769879636.982268,Paper/Cardboard,42.39,damaged,composting,Collector-8,339.11,12.534262585909783,77.93494658267018,6f5edece75fd78f0
REC-20260131-24138,PETM005202602261731018282,R003,Bengaluru E-Parisara,1769879682.334523,PET Plastic,36.02,good,composting,Collector-56,540.26,12.581189689304551,77.19083778525606,c463db5c285f969e
REC-20260131-61521,PAPM001202602261731019631,R005,Kolkata Recovery,1769880066.151537,Paper/Cardboard,6.98,good,chemical,Collector-23,55.88,13.273553595171174,77.11722588404095,02d1bef5e9a3274c
REC-20260131-50448,ORGM005202602261731013151,R002,Mumbai Waste Warriors,1769880212.682223,Organic Waste,5.08,damaged,mechanical,Collector-7,15.24,13.194002230121637,77.62170736339887,85aaa1e212e79dc3
REC-20260131-46719,HDPM001202602261731017965,R004,Chennai Green Center,1769881155.249607,HDPE Plastic,29.82,good,chemical,Collector-88,447.24,13.40048002129554,77.67381908756232,48d64dd12220e723
REC-20260131-46388,STEM004202602261731016384,R003,Bengaluru E-Parisara,1769882169.859371,Steel,5.23,damaged,pyrolysis,Collector-78,183.21,13.431364522409197,77.51416556249802,a9af577286aa6911
REC-20260131-72493,COPM003202602261731011001,R008,Hyderabad Green,1769882299.653786,Copper,4.79,good,mechanical,Collector-76,167.61,13.059860086396629,77.7661260650907,df3c01511ffff167
REC-20260131-76380,COPM005202602261731016960,R005,Kolkata Recovery,1769882934.412324,Copper,32.52,good,chemical,Collector-36,1138.23,12.48982555069283,77.544313519377,e7dadcb97a42a0dd
REC-20260131-89144,PAPM005202602261731016211,R006,Pune Recycling,1769882955.646776,Paper/Cardboard,21.71,end_of_life,composting,Collector-7,173.68,12.89884098464362,78.04319254107611,a6c90277ab8b0cc8
REC-20260201-91543,HDPM008202602261731011756,R003,Bengaluru E-Parisara,1769884395.864889,HDPE Plastic,20.41,good,chemical,Collector-23,306.09,12.530808969581749,77.82706867955528,a1894e23663f0ce5
REC-20260201-95578,STEM005202602261731011634,R002,Mumbai Waste Warriors,1769885152.862757,Steel,17.22,good,pyrolysis,Collector-23,602.74,13.158639717542009,77.67513483926052,6ca38f531a65051c
REC-20260201-60864,STEM004202602261731017274,R004,Chennai Green Center,1769889374.184919,Steel,34.05,good,chemical,Collector-83,1191.78,13.11962366108072,77.56247771071159,a0fd25f6c31a6c1d
REC-20260201-52287,ORGM002202602261731019271,R008,Hyderabad Green,1769889744.92334,Organic Waste,17.26,good,mechanical,Collector-28,51.78,12.789427162520502,77.52108965665597,1ab21684fc9913ad
