product_id,batch_number,manufacturer_id,manufacturer_name,material_type,material_category,weight_kg,carbon_footprint,recyclable_percentage,gst_hsn_code,manufacturing_date,expiry_date,qr_code_hash,gps_lat,gps_lon,source
COPM004202602261731012759,BATCH-202601-446,M004,Kumar Paper Mills,Copper,metal,33.72,118.03,0.92,3984981,1769516632.202927,,257871efe521b483,13.102643266882883,80.2480406586739,manufacturing
E-WM003202602261731019656,BATCH-202601-336,M003,Dixit E-Waste,E-Waste PCB,e_waste,47.95,719.28,0.7,3998888,1769516719.959623,,f2e08cf359c2ec73,28.624674477451634,77.22259021267489,manufacturing
PETM008202602261731018257,BATCH-202601-054,M008,Samsung India,PET Plastic,plastic,28.15,70.37,0.85,3940487,1769516753.845443,,0ef4e55cbe3ce842,28.595014090470304,77.35801161654945,manufacturing
ALUM007202602261731019449,BATCH-202601-099,M007,Apple India,Aluminum,metal,6.91,55.32,0.95,3925467,1769516816.241034,,59958611ca4b3bee,12.872814237984793,77.65822327488982,manufacturing
HDPM006202602261731011571,BATCH-202601-018,M006,Amul Dairy,HDPE Plastic,plastic,36.8,84.64,0.9,3968955,1769516840.945493,,c6e6b13b8ed2917e,22.61481936526936,73.01209985893723,manufacturing
PAPM006202602261731011205,BATCH-202601-387,M006,Amul Dairy,Paper/Cardboard,paper,48.37,24.18,0.75,3927265,1769516876.463958,1796387276.463958,41c8fa0a31e55647,22.634999982170246,72.85292924279192,manufacturing
PETM003202602261731016911,BATCH-202601-844,M003,Dixit E-Waste,PET Plastic,plastic,4.84,12.09,0.85,3994740,1769516912.777844,,fa13b310bbc567ee,28.633943105602754,77.14893496015219,manufacturing
HDPM004202602261731017333,BATCH-202601-028,M004,Kumar Paper Mills,HDPE Plastic,plastic,7.69,17.68,0.9,3988843,1769517021.97075,,16731c42294ef7a3,13.12544141439641,80.20141196153114,manufacturing
PETM003202602261731018807,BATCH-202601-178,M003,Dixit E-Waste,PET Plastic,plastic,0.97,2.44,0.85,3962669,1769517113.899692,,715262f25868a1d9,28.692953635442986,77.24965993501094,manufacturing
HDPM006202602261731014081,BATCH-202601-049,M006,Amul Dairy,HDPE Plastic,plastic,47.23,108.63,0.9,3951745,1769517158.939533,,1a1a1e7b09461f45,22.62351493139555,73.00832111023405,manufacturing
E-WM005202602261731011609,BATCH-202601-354,M005,GreenGlass India,E-Waste PCB,e_waste,48.67,730.02,0.7,3924685,1769517282.937445,,6627b83a466eb2a0,13.010123827552478,77.57322929537337,manufacturing
ORGM002202602261731016107,BATCH-202601-774,M002,Relacy Plastics,Organic Waste,organic,43.35,8.67,0.95,3945497,1769517376.871686,1799325376.871686,05fca5295650e8ac,19.053503140393445,72.95076122735816,manufacturing
HDPM003202602261731011684,BATCH-202601-551,M003,Dixit E-Waste,HDPE Plastic,plastic,30.03,69.08,0.9,3980187,1769517439.671507,,d336cbd6ff7d6b96,28.574838230469904,77.25865931734656,manufacturing
HDPM008202602261731013252,BATCH-202601-952,M008,Samsung India,HDPE Plastic,plastic,27.74,63.81,0.9,3930516,1769517505.501982,,50093c3bd02c215b,28.56607855954026,77.46712949144602,manufacturing
ALUM002202602261731013948,BATCH-202601-322,M002,Relacy Plastics,Aluminum,metal,22.64,181.1,0.95,3925140,1769517567.411522,,97cb43dd40109a32,19.00176319810015,72.81894598004318,manufacturing
PETM003202602261731012022,BATCH-202601-766,M003,Dixit E-Waste,PET Plastic,plastic,46.84,117.11,0.85,3930652,1769517592.881204,,c0ecf8c689c4c5e2,28.581232111587216,77.2177943649233,manufacturing
COPM007202602261731014096,BATCH-202601-008,M007,Apple India,Copper,metal,37.31,130.59,0.92,3983635,1769517630.587464,,ae3b501da4ce3307,12.89516572079623,77.49603881049012,manufacturing
PAPM008202602261731015499,BATCH-202601-537,M008,Samsung India,Paper/Cardboard,paper,3.09,1.54,0.75,3967445,1769517739.809692,1795092139.809692,2c0adb3ef6910d12,28.592879299118064,77.37398498065525,manufacturing
HDPM003202602261731014828,BATCH-202601-060,M003,Dixit E-Waste,HDPE Plastic,plastic,0.67,1.54,0.9,3959887,1769517818.345318,,c016cb46c7d49e37,28.627290955507224,77.28040060249644,manufacturing
ALUM006202602261731011509,BATCH-202601-594,M006,Amul Dairy,Aluminum,metal,8.09,64.7,0.95,3922472,1769517819.327156,,b531eb0cbec78cb2,22.494880501175295,72.84353923294572,manufacturing
LITM004202602261731015553,BATCH-202601-955,M004,Kumar Paper Mills,Lithium Battery,e_waste,28.95,723.69,0.6,3928885,1769518009.925782,,89525904392baff3,13.081332385502392,80.35895064251548,manufacturing
ORGM001202602261731012369,BATCH-202601-441,M001,Tata Steel,Organic Waste,organic,30.07,6.01,0.95,3960464,1769518015.358209,1798289215.358209,c18b3fe7f1c3337b,22.879201194743924,86.16468112676712,manufacturing
ALUM002202602261731018988,BATCH-202601-522,M002,Relacy Plastics,Aluminum,metal,44.72,357.77,0.95,3970607,1769518085.980201,,c3cf58bea4edeb83,19.008626174656744,72.79081189496583,manufacturing
PETM002202602261731016737,BATCH-202601-891,M002,Relacy Plastics,PET Plastic,plastic,7.22,18.06,0.85,3926644,1769518100.101333,,9c4c39016d34dcd0,19.119691704575867,72.81008705104271,manufacturing
GLAM008202602261731015064,BATCH-202601-458,M008,Samsung India,Glass,glass,19.49,15.59,0.8,3944437,1769518222.032699,,1556fa69902daf2d,28.495889167938323,77.4355765056802,manufacturing
COPM008202602261731019862,BATCH-202601-070,M008,Samsung India,Copper,metal,20.27,70.95,0.92,3998285,1769518254.626926,,303530b8dc36247c,28.61652308275478,77.44879864486506,manufacturing
LITM006202602261731019314,BATCH-202601-483,M006,Amul Dairy,Lithium Battery,e_waste,38.08,952.05,0.6,3925956,1769518292.915944,,bcf992cab05355ad,22.573213718402037,72.84238139315735,manufacturing
GLAM007202602261731014014,BATCH-202601-978,M007,Apple India,Glass,glass,39.27,31.41,0.8,3942525,1769518486.829672,,be84621db4c010cd,12.89024326668813,77.66970419188196,manufacturing
COPM005202602261731014673,BATCH-202601-639,M005,GreenGlass India,Copper,metal,15.68,54.87,0.92,3925998,1769518558.051131,,e7539c2475deb9b8,13.006685342666309,77.59706203962614,manufacturing
ORGM007202602261731011897,BATCH-202601-217,M007,Apple India,Organic Waste,organic,15.42,3.08,0.95,3927882,1769518594.948606,1783342594.948606,a9f052ce4794cb6d,12.929489426243489,77.51859686874111,manufacturing
PAPM006202602261731011225,BATCH-202601-108,M006,Amul Dairy,Paper/Cardboard,paper,0.78,0.39,0.75,3993695,1769518645.218965,1800363445.218965,4b163959d9cace06,22.66403694157573,72.97863609906312,manufacturing
ALUM001202602261731014251,BATCH-202601-845,M001,Tata Steel,Aluminum,metal,8.2,65.64,0.95,3936346,1769518659.264193,,78c62a3e6b2a184e,22.86718732113543,86.24120037194214,manufacturing
E-WM004202602261731017364,BATCH-202601-950,M004,Kumar Paper Mills,E-Waste PCB,e_waste,48.06,720.86,0.7,3942408,1769518672.891531,,5645b23255424de5,13.000750065541748,80.33524154514771,manufacturing
E-WM006202602261731016733,BATCH-202601-184,M006,Amul Dairy,E-Waste PCB,e_waste,14.03,210.47,0.7,3949510,1769518831.336404,,8b0b0324da077d5f,22.637482836158483,72.98032435737981,manufacturing
ORGM008202602261731018255,BATCH-202601-571,M008,Samsung India,Organic Waste,organic,6.6,1.32,0.95,3917643,1769518900.232384,1781442100.232384,91ca45815df7a06c,28.488380761859958,77.43597610778271,manufacturing
GLAM006202602261731019154,BATCH-202601-161,M006,Amul Dairy,Glass,glass,48.22,38.58,0.8,3989482,1769518904.893967,,33926ee04b8e5286,22.471723580125165,72.90859553549826,manufacturing
ORGM005202602261731019692,BATCH-202601-141,M005,GreenGlass India,Organic Waste,organic,44.08,8.82,0.95,3950349,1769519104.781103,1793279104.781103,fab0d2baf1ef4e48,13.031845058258714,77.53233340234762,manufacturing
PAPM003202602261731016808,BATCH-202601-203,M003,Dixit E-Waste,Paper/Cardboard,paper,21.82,10.91,0.75,3920641,1769519107.501789,1794834307.501789,cc2784414d51acb9,28.693601991608308,77.19114381057597,manufacturing
LITM007202602261731018305,BATCH-202601-518,M007,Apple India,Lithium Battery,e_waste,45.87,1146.87,0.6,3911601,1769519158.86054,,25eca46678c5c5ec,12.987355924681035,77.64629892764817,manufacturing
E-WM008202602261731015908,BATCH-202601-300,M008,Samsung India,E-Waste PCB,e_waste,21.81,327.1,0.7,3986336,1769519224.706792,,b7b5054d1b21429e,28.594853476773526,77.4006424391473,manufacturing
PAPM008202602261731011993,BATCH-202601-318,M008,Samsung India,Paper/Cardboard,paper,14.35,7.18,0.75,3951771,1769519336.916984,1798031336.916984,284b3e932704e7eb,28.59530761902925,77.38200930344512,manufacturing
ORGM005202602261731016152,BATCH-202601-332,M005,GreenGlass India,Organic Waste,organic,2.17,0.43,0.95,3992941,1769519406.389754,1784812206.389754,0bd5e456410ef237,12.89228003281374,77.63280606303461,manufacturing
HDPM007202602261731012686,BATCH-202601-100,M007,Apple India,HDPE Plastic,plastic,17.53,40.33,0.9,3915119,1769519465.177736,,adb650aceec082f9,13.066314554993614,77.65971857817985,manufacturing
PETM003202602261731016944,BATCH-202601-569,M003,Dixit E-Waste,PET Plastic,plastic,18.22,45.54,0.85,3924245,1769519555.958387,,79d9ef115d1086c4,28.57201524307789,77.14788068889281,manufacturing
STEM008202602261731014957,BATCH-202601-778,M008,Samsung India,Steel,metal,45.57,82.03,0.88,3914572,1769519650.653552,,5599f6c52eb6068e,28.586197150491586,77.45500350519704,manufacturing
PETM003202602261731015004,BATCH-202601-581,M003,Dixit E-Waste,PET Plastic,plastic,15.44,38.59,0.85,3965968,1769519673.146308,,d312e8a67c4cd249,28.57477733414993,77.29478007826819,manufacturing
PETM007202602261731018334,BATCH-202601-656,M007,Apple India,PET Plastic,plastic,22.72,56.8,0.85,3929875,1769519814.732659,,810f89dd7bc60123,12.955919874497948,77.67890111468748,manufacturing
PAPM004202602261731011618,BATCH-202601-940,M004,Kumar Paper Mills,Paper/Cardboard,paper,6.18,3.09,0.75,3927434,1769519924.920659,1792588724.920659,8d130932e3f04792,13.079651847465868,80.18434743423842,manufacturing
PAPM008202602261731012993,BATCH-202601-303,M008,Samsung India,Paper/Cardboard,paper,4.64,2.32,0.75,3934481,1769520128.780837,1789046528.780837,e3ede9ad36324fa9,28.59487191708824,77.34875277772801,manufacturing
PETM001202602261731015670,BATCH-202601-849,M001,Tata Steel,PET Plastic,plastic,12.67,31.67,0.85,3911834,1769520174.146722,,119372daf79d5686,22.766896475945313,86.28145768995249,manufacturing
ORGM004202602261731014607,BATCH-202601-782,M004,Kumar Paper Mills,Organic Waste,organic,47.84,9.57,0.95,3955346,1769520224.897888,1798550624.897888,c2315c4a1742f69a,13.056038988625481,80.31879943839638,manufacturing
HDPM004202602261731014158,BATCH-202601-755,M004,Kumar Paper Mills,HDPE Plastic,plastic,0.76,1.74,0.9,3959181,1769520230.232437,,cec02f2c16ca5c2a,13.109807831635763,80.27567828754962,manufacturing
ALUM007202602261731011894,BATCH-202601-518,M007,Apple India,Aluminum,metal,46.75,374.01,0.95,3970972,1769520321.400326,,bf3dd5df08525ab5,12.97076698615166,77.52768077465723,manufacturing
COPM002202602261731013474,BATCH-202601-036,M002,Relacy Plastics,Copper,metal,13.01,45.52,0.92,3966708,1769520417.815309,,044a096f492a2b70,19.023691975379563,72.87392965791956,manufacturing
PETM003202602261731012341,BATCH-202601-635,M003,Dixit E-Waste,PET Plastic,plastic,33.89,84.73,0.85,3970473,1769520457.055767,,0b0beadb9f3d2805,28.69479342955406,77.267111172323,manufacturing
PAPM001202602261731016181,BATCH-202601-226,M001,Tata Steel,Paper/Cardboard,paper,11.03,5.52,0.75,3918773,1769520468.510927,1784381268.510927,399c74735273306c,22.834588999104366,86.17669599220147,manufacturing
PAPM006202602261731017224,BATCH-202601-419,M006,Amul Dairy,Paper/Cardboard,paper,48.49,24.25,0.75,3923930,1769520507.966017,1790688507.966017,a54bfda4252167f3,22.632571291058568,72.89081938451194,manufacturing
PETM004202602261731015146,BATCH-202601-511,M004,Kumar Paper Mills,PET Plastic,plastic,25.13,62.83,0.85,3979926,1769520567.507174,,52e1e72e9a6874b1,12.983850109779812,80.34724058410744,manufacturing
E-WM005202602261731017690,BATCH-202601-839,M005,GreenGlass India,E-Waste PCB,e_waste,28.61,429.14,0.7,3998941,1769520975.816297,,8e8df28204ed4be6,12.875490497456093,77.57991739098745,manufacturing
COPM002202602261731017811,BATCH-202601-762,M002,Relacy Plastics,Copper,metal,21.33,74.64,0.92,3985498,1769521021.931884,,f50c13d176c31818,18.99884637648671,72.78299699083809,manufacturing
STEM006202602261731019784,BATCH-202601-667,M006,Amul Dairy,Steel,metal,9.35,16.83,0.88,3995930,1769521093.203609,,45d69596a2504847,22.524793033386242,72.9330985423917,manufacturing
ALUM007202602261731011685,BATCH-202601-655,M007,Apple India,Aluminum,metal,47.64,381.08,0.95,3935120,1769521194.369719,,cb3478b45c3afbc7,13.059684031844291,77.65707724780691,manufacturing
PETM002202602261731012106,BATCH-202601-945,M002,Relacy Plastics,PET Plastic,plastic,11.18,27.95,0.85,3917908,1769521261.535613,,3e41d2aaeddd8c5d,19.05559500477703,72.83499756001916,manufacturing
E-WM004202602261731011308,BATCH-202601-536,M004,Kumar Paper Mills,E-Waste PCB,e_waste,43.47,652.12,0.7,3987374,1769521261.875959,,5746daf130d33f0f,13.027418610568075,80.20956885649763,manufacturing
COPM003202602261731017426,BATCH-202601-863,M003,Dixit E-Waste,Copper,metal,24.05,84.16,0.92,3972273,1769521282.147407,,7a1629e7b5b7d724,28.563238186838564,77.27778814776728,manufacturing
E-WM001202602261731018084,BATCH-202601-892,M001,Tata Steel,E-Waste PCB,e_waste,34.55,518.2,0.7,3968456,1769521309.291649,,b1536ebfab6b5905,22.856154575505165,86.12507638747448,manufacturing
HDPM006202602261731017464,BATCH-202601-466,M006,Amul Dairy,HDPE Plastic,plastic,27.06,62.24,0.9,3957788,1769521316.394835,,1dcf2877249565f1,22.614302320707353,72.88133228164995,manufacturing
E-WM004202602261731016924,BATCH-202601-625,M004,Kumar Paper Mills,E-Waste PCB,e_waste,38.03,570.39,0.7,3973348,1769521319.046061,,8af23925733cff23,13.006181293712327,80.23462329021876,manufacturing
PAPM008202602261731013617,BATCH-202601-061,M008,Samsung India,Paper/Cardboard,paper,31.26,15.63,0.75,3964684,1769521402.687269,1782395002.687269,113dd973a0a1c291,28.452267253880958,77.45745161573811,manufacturing
ALUM007202602261731017923,BATCH-202601-735,M007,Apple India,Aluminum,metal,22.28,178.25,0.95,3923427,1769521442.185168,,144cb0875c74cd20,12.998048403297476,77.51925921304576,manufacturing
E-WM003202602261731017223,BATCH-202601-351,M003,Dixit E-Waste,E-Waste PCB,e_waste,47.37,710.61,0.7,3938416,1769521453.953432,,7c7714a34c7a8b37,28.555185851932034,77.13901770418632,manufacturing
STEM001202602261731013984,BATCH-202601-856,M001,Tata Steel,Steel,metal,31.91,57.45,0.88,3940265,1769521493.0174,,7a92c1d93e6b04af,22.7839527190723,86.10524250213517,manufacturing
HDPM004202602261731013468,BATCH-202601-431,M004,Kumar Paper Mills,HDPE Plastic,plastic,11.25,25.88,0.9,3949904,1769521669.730083,,76e5bc5e2d407aff,13.142592470387214,80.37029268923312,manufacturing
HDPM007202602261731014549,BATCH-202601-437,M007,Apple India,HDPE Plastic,plastic,24.36,56.02,0.9,3922788,1769521761.048978,,b2d39dade7e71b3d,13.037722836896288,77.67105737550514,manufacturing
PETM001202602261731019795,BATCH-202601-529,M001,Tata Steel,PET Plastic,plastic,23.99,59.98,0.85,3960592,1769521796.533394,,ca9e793a7f17b823,22.846793410537444,86.30122739317243,manufacturing
ALUM004202602261731018439,BATCH-202601-270,M004,Kumar Paper Mills,Aluminum,metal,6.48,51.83,0.95,3980828,1769522015.110595,,e61d46aa0097518e,13.168725033101232,80.31927079848796,manufacturing
HDPM006202602261731019390,BATCH-202601-287,M006,Amul Dairy,HDPE Plastic,plastic,20.2,46.46,0.9,3979937,1769522108.110982,,f165bff613b7fdf8,22.466766293998834,72.87880616950895,manufacturing
HDPM002202602261731016254,BATCH-202601-599,M002,Relacy Plastics,HDPE Plastic,plastic,7.78,17.89,0.9,3924789,1769522141.242321,,23138dfa7dd56f43,19.1632255272682,72.89869132854716,manufacturing
STEM004202602261731012497,BATCH-202601-015,M004,Kumar Paper Mills,Steel,metal,1.88,3.39,0.88,3953940,1769522246.068863,,da48acd6e17d8efa,13.021130363953054,80.3044898910987,manufacturing
LITM001202602261731017119,BATCH-202601-033,M001,Tata Steel,Lithium Battery,e_waste,22.14,553.54,0.6,3974994,1769522317.562184,,9235e1b6622f01f3,22.864255648957297,86.26092750071706,manufacturing
PETM004202602261731013233,BATCH-202601-588,M004,Kumar Paper Mills,PET Plastic,plastic,16.84,42.11,0.85,3923320,1769522335.322957,,fba4c93812e6ea1d,13.023582235583389,80.17269216489453,manufacturing
ORGM004202602261731013401,BATCH-202601-358,M004,Kumar Paper Mills,Organic Waste,organic,2.1,0.42,0.95,3977954,1769522342.257852,1787407142.257852,3b762183d1f68d59,13.068404447822685,80.32238434797378,manufacturing
ORGM008202602261731019782,BATCH-202601-248,M008,Samsung India,Organic Waste,organic,26.01,5.2,0.95,3928398,1769522420.363513,1791036020.363513,d3fa08027dd2d332,28.43581286718668,77.36156320792522,manufacturing
HDPM002202602261731014941,BATCH-202601-274,M002,Relacy Plastics,HDPE Plastic,plastic,23.31,53.62,0.9,3913587,1769522487.385754,,07836e3abc8f7b1b,19.108377100781926,72.86822818320984,manufacturing
ALUM003202602261731019328,BATCH-202601-623,M003,Dixit E-Waste,Aluminum,metal,5.75,46.03,0.95,3947359,1769522618.924838,,e7648663f396d45c,28.713327655568673,77.17822122323545,manufacturing
GLAM004202602261731018445,BATCH-202601-164,M004,Kumar Paper Mills,Glass,glass,15.09,12.07,0.8,3989196,1769522842.875685,,4658ca0ad5069626,13.18119807138978,80.28270273774628,manufacturing
ORGM007202602261731015394,BATCH-202601-820,M007,Apple India,Organic Waste,organic,22.24,4.45,0.95,3969939,1769523258.316702,1781100858.316702,91709e45681047d7,13.03607137290032,77.67580215184904,manufacturing
STEM004202602261731017124,BATCH-202601-266,M004,Kumar Paper Mills,Steel,metal,21.31,38.35,0.88,3998433,1769523550.494523,,4db0f95594afa0b3,13.136959408006177,80.31478627081395,manufacturing
STEM002202602261731015034,BATCH-202601-284,M002,Relacy Plastics,Steel,metal,24.33,43.79,0.88,3953354,1769523853.920006,,f97120eb5d99cc1f,19.101814258900504,72.94535144717577,manufacturing
ALUM007202602261731018897,BATCH-202601-875,M007,Apple India,Aluminum,metal,19.38,155.04,0.95,3920877,1769523905.595292,,fa26ab25f1585f2d,13.0528914072298,77.55464631011961,manufacturing
PAPM005202602261731019409,BATCH-202601-786,M005,GreenGlass India,Paper/Cardboard,paper,39.13,19.56,0.75,3997109,1769524011.948207,1793024811.948207,bc3e6de96bf92bc9,13.053903087610475,77.624074310835,manufacturing
COPM008202602261731017102,BATCH-202601-311,M008,Samsung India,Copper,metal,40.96,143.36,0.92,3949387,1769524091.540845,,ffa46bc5aaa57b03,28.60406931372228,77.46264695664672,manufacturing
LITM002202602261731015223,BATCH-202601-571,M002,Relacy Plastics,Lithium Battery,e_waste,30.5,762.62,0.6,3917799,1769524165.565964,,210270100aa0a704,19.050629396342472,72.81140262235661,manufacturing
HDPM005202602261731017636,BATCH-202601-821,M005,GreenGlass India,HDPE Plastic,plastic,16.58,38.12,0.9,3989571,1769524366.617861,,ce2281d1d07ede2e,13.038005182614341,77.67855395034827,manufacturing
COPM004202602261731014132,BATCH-202601-531,M004,Kumar Paper Mills,Copper,metal,22.69,79.42,0.92,3993976,1769524455.154564,,104140a4311f7942,13.028835305092207,80.36056495670275,manufacturing
E-WM006202602261731014161,BATCH-202601-742,M006,Amul Dairy,E-Waste PCB,e_waste,19.2,287.99,0.7,3927356,1769524585.630277,,84349ae1b31d6af3,22.644232608854008,72.9259604266325,manufacturing
ALUM008202602261731013679,BATCH-202601-154,M008,Samsung India,Aluminum,metal,42.93,343.43,0.95,3928215,1769524634.711906,,89269c5c0465bc60,28.510636095547895,77.36637683498729,manufacturing
ALUM004202602261731014211,BATCH-202601-933,M004,Kumar Paper Mills,Aluminum,metal,42.22,337.78,0.95,3922121,1769524647.079061,,46294ace41b0d34e,13.14898914725401,80.19814870689352,manufacturing
PETM003202602261731019764,BATCH-202601-289,M003,Dixit E-Waste,PET Plastic,plastic,48.63,121.58,0.85,3944228,1769524929.219428,,8f8c59cf69884107,28.656939188442255,77.2544214140895,manufacturing
COPM003202602261731018653,BATCH-202601-125,M003,Dixit E-Waste,Copper,metal,42.83,149.89,0.92,3923796,1769525017.743686,,343d9c21d835d715,28.552229862146362,77.12764890681454,manufacturing
HDPM004202602261731017099,BATCH-202601-609,M004,Kumar Paper Mills,HDPE Plastic,plastic,8.67,19.93,0.9,3975483,1769525250.233223,,7c6163b3ef625b15,13.13421218411573,80.3355549700889,manufacturing
ORGM002202602261731012687,BATCH-202601-940,M002,Relacy Plastics,Organic Waste,organic,48.6,9.72,0.95,3998866,1769525272.590379,1788965272.590379,ba4a76a0d20817cc,19.172440471173402,72.85380707683865,manufacturing
HDPM005202602261731019624,BATCH-202601-876,M005,GreenGlass India,HDPE Plastic,plastic,39.36,90.53,0.9,3945453,1769525463.435574,,0f0bd6f882ef5274,12.988085563357762,77.50677705980198,manufacturing
STEM006202602261731013553,BATCH-202601-871,M006,Amul Dairy,Steel,metal,16.35,29.43,0.88,3938243,1769525517.735283,,b5e9ab819718cb48,22.66016347361799,72.95568434113734,manufacturing
PETM003202602261731018068,BATCH-202601-075,M003,Dixit E-Waste,PET Plastic,plastic,8.76,21.91,0.85,3926627,1769525725.406519,,8b1c853bb316acd2,28.687275997736023,77.29272460065502,manufacturing
PAPM005202602261731013180,BATCH-202601-940,M005,GreenGlass India,Paper/Cardboard,paper,49.28,24.64,0.75,3963386,1769525767.620308,1797173767.620308,b0e348752358302d,13.014638457384622,77.50499971428174,manufacturing
COPM001202602261731011094,BATCH-202601-794,M001,Tata Steel,Copper,metal,15.86,55.52,0.92,3979545,1769525866.770228,,e42581aec0388b7a,22.89037543404629,86.1886482753919,manufacturing
PAPM001202602261731015218,BATCH-202601-026,M001,Tata Steel,Paper/Cardboard,paper,35.52,17.76,0.75,3951675,1769525892.169975,1794149892.169975,aca77220e8db0977,22.80038055901106,86.27108222900323,manufacturing
GLAM001202602261731014675,BATCH-202601-178,M001,Tata Steel,Glass,glass,4.71,3.77,0.8,3963143,1769526150.087143,,dbf116e1d0fcc36d,22.87777841508337,86.28244310262087,manufacturing
PETM008202602261731012511,BATCH-202601-211,M008,Samsung India,PET Plastic,plastic,2.76,6.91,0.85,3991409,1769526265.301654,,ea1e9df7ca685935,28.480757322929044,77.35130558586084,manufacturing
ORGM002202602261731017265,BATCH-202601-465,M002,Relacy Plastics,Organic Waste,organic,36.84,7.37,0.95,3991746,1769526327.047647,1787929527.047647,235c70cbad03ad3f,19.013311034261765,72.90820454392718,manufacturing
E-WM005202602261731014317,BATCH-202601-561,M005,GreenGlass India,E-Waste PCB,e_waste,36.67,550.01,0.7,3928407,1769526518.006892,,d4edb63818eea493,13.061814283848827,77.5323105695345,manufacturing
GLAM001202602261731019908,BATCH-202601-884,M001,Tata Steel,Glass,glass,43.51,34.81,0.8,3977886,1769526519.74842,,aa2af53a11f2656d,22.814942250036385,86.10560167292196,manufacturing
STEM005202602261731012858,BATCH-202601-531,M005,GreenGlass India,Steel,metal,9.71,17.48,0.88,3959675,1769526603.460961,,888eb5368366924f,12.895152199098135,77.6495928967063,manufacturing
GLAM008202602261731012913,BATCH-202601-669,M008,Samsung India,Glass,glass,19.05,15.24,0.8,3965851,1769526711.953597,,9ba9794fefd1472c,28.592746883530253,77.45030071158864,manufacturing
ALUM002202602261731014026,BATCH-202601-632,M002,Relacy Plastics,Aluminum,metal,49.3,394.44,0.95,3944720,1769526729.821811,,df663ab6bcd54671,19.089408618587797,72.8238822697466,manufacturing
HDPM008202602261731012323,BATCH-202601-818,M008,Samsung India,HDPE Plastic,plastic,38.06,87.53,0.9,3977366,1769526782.461666,,5b611e2cd9008523,28.594723546015317,77.48121826046084,manufacturing
ORGM005202602261731011736,BATCH-202601-992,M005,GreenGlass India,Organic Waste,organic,46.4,9.28,0.95,3980431,1769526786.425988,1772205186.425988,e74050f8686611a0,13.066160547439607,77.64319022021529,manufacturing
PETM004202602261731011906,BATCH-202601-201,M004,Kumar Paper Mills,PET Plastic,plastic,39.2,98.0,0.85,3978722,1769526798.854043,,4ec0643bc744413f,13.15475889430551,80.30708824326337,manufacturing
E-WM006202602261731013691,BATCH-202601-643,M006,Amul Dairy,E-Waste PCB,e_waste,5.33,79.9,0.7,3983121,1769527040.980202,,1566f80e534ccb66,22.597959718935574,72.86740892509827,manufacturing
COPM007202602261731018851,BATCH-202601-321,M007,Apple India,Copper,metal,12.89,45.11,0.92,3958651,1769527180.303583,,b1f5b87f6bee19ca,13.066991476996805,77.57209983607703,manufacturing
